1D,Points:,10,Time:,0.005635976791381836
1D,Points:,10,Time:,0.000156402587890625
1D,Points:,10,Time:,2.7418136596679688e-05
1D,Points:,10,Time:,2.7894973754882812e-05
1D,Points:,10,Time:,2.4557113647460938e-05
2D,Points:,10,Time:,0.0008833408355712891
2D,Points:,10,Time:,0.0007789134979248047
2D,Points:,10,Time:,0.0008645057678222656
2D,Points:,10,Time:,0.0009565353393554688
2D,Points:,10,Time:,0.0007617473602294922
nD - 2D,Points:,10,Time:,0.0021300315856933594
nD - 2D,Points:,10,Time:,0.0019288063049316406
nD - 2D,Points:,10,Time:,0.00191497802734375
nD - 2D,Points:,10,Time:,0.002001047134399414
nD - 2D,Points:,10,Time:,0.0019145011901855469
nD - 5D,Points:,10,Time:,0.015990495681762695
nD - 5D,Points:,10,Time:,0.015993595123291016
nD - 5D,Points:,10,Time:,0.015930891036987305
nD - 5D,Points:,10,Time:,0.011052846908569336
nD - 5D,Points:,10,Time:,0.008563756942749023
nD - 10D,Points:,10,Time:,6.4373016357421875e-06
nD - 10D,Points:,10,Time:,2.1457672119140625e-06
nD - 20D,Points:,10,Time:,2.1457672119140625e-06
1D,Points:,11,Time:,4.839897155761719e-05
1D,Points:,11,Time:,1.5735626220703125e-05
1D,Points:,11,Time:,1.6450881958007812e-05
1D,Points:,11,Time:,1.4543533325195312e-05
1D,Points:,11,Time:,1.5020370483398438e-05
2D,Points:,11,Time:,0.0005712509155273438
2D,Points:,11,Time:,0.00048828125
2D,Points:,11,Time:,0.00046753883361816406
2D,Points:,11,Time:,0.0004715919494628906
2D,Points:,11,Time:,0.0004925727844238281
nD - 2D,Points:,11,Time:,0.0013568401336669922
nD - 2D,Points:,11,Time:,0.0013632774353027344
nD - 2D,Points:,11,Time:,0.0013840198516845703
nD - 2D,Points:,11,Time:,0.0013666152954101562
nD - 2D,Points:,11,Time:,0.0013318061828613281
nD - 5D,Points:,11,Time:,0.017748355865478516
nD - 5D,Points:,11,Time:,0.018022537231445312
nD - 5D,Points:,11,Time:,0.0178067684173584
nD - 5D,Points:,11,Time:,0.018316984176635742
nD - 5D,Points:,11,Time:,0.018087148666381836
nD - 10D,Points:,11,Time:,0.00019598007202148438
nD - 10D,Points:,11,Time:,0.00017213821411132812
nD - 20D,Points:,11,Time:,3.5762786865234375e-06
1D,Points:,12,Time:,3.1948089599609375e-05
1D,Points:,12,Time:,1.8596649169921875e-05
1D,Points:,12,Time:,1.5497207641601562e-05
